label-coarse,label-fine,text,answer
4,40,How far is it from Denver to Aspen ?,220 miles
5,21,"What county is Modesto , California in ?",Stanislaus
3,12,Who was Galileo ?,Italian scientist
0,7,What is an atom ?,smallest particle of an element
4,8,When did Hawaii become a state ?,1959
4,40,How tall is the Sears Building ?,"1,454 feet"
3,5,George Bush purchased a small interest in which baseball team ?,Texas Rangers
1,30,What is Australia 's national flower ?,golden wattle
0,9,Why does the moon turn orange ?,reflected sunlight
0,7,What is autism ?,developmental disorder
5,21,What city had a world fair in 1900 ?,Paris
3,4,What person 's head is on a dime ?,Franklin Roosevelt
4,45,What is the average weight of a Yellow Labrador ?,65-80 lbs
3,4,Who was the first man to fly across the Pacific Ocean ?,Charles Lindbergh
4,8,When did Idaho become a state ?,1890
4,14,What is the life expectancy for crickets ?,2-3 weeks
1,28,What metal has the highest melting point ?,tungsten
3,4,Who developed the vaccination against polio ?,Jonas Salk
0,7,What is epilepsy ?,seizures
4,8,What year did the Titanic sink ?,1912
3,4,Who was the first American to walk in space ?,Edwin E. Aldrin Jr.
0,7,What is a biosphere ?,self-contained area of life
5,14,What river in the US is known as the Big Muddy ?,Mississippi
0,7,What is bipolar disorder ?,mood swings
0,7,What is cholesterol ?,fatty substance
3,4,Who developed the Macintosh computer ?,Steve Jobs
0,7,What is caffeine ?,stimulant
5,14,What imaginary line is halfway between the North and South Poles ?,Equator
5,14,Where is John Wayne airport ?,Orange County
5,14,What hemisphere is the Philippines in ?,Western
4,35,What is the average speed of the horses at the Kentucky Derby ?,40 mph
5,24,Where are the Rocky Mountains ?,Western United States
0,7,What are invertebrates ?,animals without backbones
4,41,What is the temperature at the center of the earth ?,"9,800°C"
4,8,When did John F. Kennedy get elected as President ?,1960
4,27,How old was Elvis Presley when he died ?,42
5,14,Where is the Orinoco River ?,Venezuela
4,40,How far is the service line from the net in tennis ?,21 feet
4,13,How much fiber should you have per day ?,25-30 grams
4,13,How many Great Lakes are there ?,5
1,30,Material called linen is made from what plant ?,flax
0,7,What is Teflon ?,nonstick coating
0,7,What is amitriptyline ?,antidepressant
0,7,What is a shaman ?,spiritual healer
1,2,What is the proper name for a female walrus ?,cow
1,2,What is a group of turkeys called ?,rafter
4,27,How long did Rip Van Winkle sleep ?,20 years
0,7,What are triglycerides ?,fats
4,13,How many liters in a gallon ?,3.79
3,5,What is the name of the chocolate company in San Francisco ?,Ghirardelli
0,7,What are amphibians ?,amphibious animals
3,4,Who discovered x-rays ?,Wilhelm Roentgen
3,4,Which comedian 's signature line is `` Can we talk '' ?,Joan Rivers
0,7,What is fibromyalgia ?,widespread muscle pain
0,12,What is done with worn or outdated flags ?,burned
0,7,What does cc in engines mean ?,cubic centimeter
4,8,When did Elvis Presley die ?,1977
5,21,What is the capital of Yugoslavia ?,Belgrade
5,21,Where is Milan ?,Italy
4,35,What is the speed hummingbirds fly ?,60 mph
5,21,What is the oldest city in the United States ?,"St. Augustine, FL"
3,4,What was W.C. Fields ' real name ?,William Claude Dukenfield
5,14,"What river flows between Fargo , North Dakota and Moorhead , Minnesota ?",Red River of the North
1,17,What do bats eat ?,insects
5,11,What state did the Battle of Bighorn take place in ?,Montana
3,12,Who was Abraham Lincoln ?,16th US president
1,20,What do you call a newborn kangaroo ?,joey
0,7,What are spider veins ?,varicose veins on face
4,8,What day and month did John Lennon die ?,8-Dec-80
5,14,What strait separates North America from Asia ?,Bering
4,14,What is the population of Seattle ?,"704,352"
4,25,How much was a ticket for the Titanic ?,$435 
5,21,What is the largest city in the world ?,Tokyo
3,4,What American composer wrote the music for `` West Side Story '' ?,Leonard Bernstein
5,14,Where is the Mall of the America ?,"Bloomington, MN"
0,7,What is the pH scale ?,scale of acidity
1,46,What type of currency is used in Australia ?,Australian dollar
4,40,"How tall is the Gateway Arch in St. Louis , MO ?",630 feet
4,45,How much does the human adult female brain weigh ?,2.2 lbs
3,4,Who was the first governor of Alaska ?,William A. Egan
0,7,What is a prism ?,prism
4,8,When was the first liver transplant ?,1967
3,4,Who was elected president of South Africa in 1994 ?,Nelson Mandela
4,14,What is the population of China ?,1.42 billion
4,8,When was Rosa Parks born ?,1913
0,9,Why is a ladybug helpful ?,eats harmful insects
0,7,What is amoxicillin ?,antibiotic
3,4,Who was the first female United States Representative ?,Jeannette Rankin
0,7,What are xerophytes ?,drought-resistant plants
5,18,What country did Ponce de Leon come from ?,Spain
1,10,The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?,Civil War
0,7,What is desktop publishing ?,desktop publishing
4,41,What is the temperature of the sun 's surface ?,"5,800°K"
4,8,What year did Canada join the United Nations ?,1945
3,5,What is the oldest university in the US ?,Harvard (1636)
5,14,Where is Prince Edward Island ?,Canada
4,8,"Mercury , what year was it discovered ?",76 BC
0,7,What is cryogenics ?,freezing
0,7,What are coral reefs ?,coral colonies
1,14,What is the longest major league baseball-winning streak ?,26 games
0,7,What is neurology ?,study of nervous system
3,4,Who invented the calculator ?,Blaise Pascal
0,0,How do you measure earthquakes ?,Richter scale
3,12,Who is Duke Ellington ?,jazz composer and pianist
5,21,"What county is Phoenix , AZ in ?",Maricopa
0,7,What is a micron ?,one millionth of a meter
4,41,"The sun 's core , what is the temperature ?",15 million °C
1,2,What is the Ohio state bird ?,cardinal
4,8,When were William Shakespeare 's twins born ?,1583
5,14,What is the highest dam in the U.S. ?,Oroville Dam
1,19,What color is a poison arrow frog ?,poisonous
0,7,What is acupuncture ?,acupuncture
4,40,What is the length of the coastline of the state of Alaska ?,"6,640 miles"
3,4,What is the name of Neil Armstrong 's wife ?,Janet Armstrong
1,30,What is Hawaii 's state flower ?,yellow hibiscus
3,4,Who won Ms. American in 1989 ?,Gretchen Carlson
4,8,When did the Hindenberg crash ?,1937
1,28,What mineral helps prevent osteoporosis ?,calcium
4,8,What was the last year that the Chicago Cubs won the World Series ?,1908
5,14,Where is Perth ?,Australia
4,8,What year did WWII begin ?,1939
4,40,What is the diameter of a golf ball ?,1.68 inches
0,7,What is an eclipse ?,shadow
3,4,Who discovered America ?,Christopher Columbus
4,40,What is the earth 's diameter ?,"7,917 miles"
3,4,Which president was unmarried ?,James Buchanan
4,40,How wide is the Milky Way galaxy ?,"100,000 light years"
4,8,During which season do most thunderstorms occur ?,summer
0,7,What is Wimbledon ?,tennis tournament
4,27,What is the gestation period for a cat ?,9 weeks
4,40,How far is a nautical mile ?,"6,076 feet"
3,4,Who was the abolitionist who led the raid on Harper 's Ferry in 1859 ?,John Brown
0,7,What does target heart rate mean ?,target for exercise intensity
1,26,What was the first satellite to go into space ?,Sputnik 1
0,7,What is foreclosure ?,lender takes possession of property
1,14,What is the major fault line near Kentucky ?,New Madrid Fault
5,14,Where is the Holland Tunnel ?,New York City
3,4,Who wrote the hymn `` Amazing Grace '' ?,John Newton
3,6,What position did Willie Davis play in baseball ?,defensive end
0,7,What are platelets ?,blood cells
0,7,What is severance pay ?,payment upon leaving a job
1,2,What is the name of Roy Roger 's dog ?,Bullet
5,14,Where are the National Archives ?,"College Park, MD"
1,2,What is a baby turkey called ?,poult
0,7,What is poliomyelitis ?,polio
1,22,What is the longest bone in the human body ?,femur
3,4,Who is a German philosopher ?,Immanuel Kant
1,44,What were Christopher Columbus ' three ships ?,"Niña, Pinta, Santa Maria"
0,7,What does Phi Beta Kappa mean ?,friendship
0,7,What is nicotine ?,nicotine is an alkaloid
1,20,What is another name for vitamin B1 ?,thiamine
3,4,Who discovered radium ?,Marie Curie
0,7,What are sunspots ?,solar magnetic disturbances
4,8,When was Algeria colonized ?,1830
3,5,What baseball team was the first to make numbers part of their uniform ?,Chicago White Sox
5,14,What continent is Egypt on ?,Africa
5,21,What is the capital of Mongolia ?,Ulaanbaatar
0,7,What is nanotechnology ?,engineering at molecular scale
5,14,In the late 1700 's British convicts were used to populate which colony ?,Australia
5,11,What state is the geographic center of the lower 48 states ?,Kansas
0,7,What is an obtuse angle ?,greater than 90 degrees
0,7,What are polymers ?,chain molecules
4,8,When is hurricane season in the Caribbean ?,June to November
5,14,Where is the volcano Mauna Loa ?,Hawaii
1,20,What is another astronomic term for the Northern Lights ?,aurora borealis
5,14,What peninsula is Spain part of ?,Iberian Peninsula
4,8,When was Lyndon B. Johnson born ?,1908
0,7,What is acetaminophen ?,Tylenol
5,11,What state has the least amount of rain per year ?,Nevada
3,4,Who founded American Red Cross ?,Clara Barton
4,8,What year did the Milwaukee Braves become the Atlanta Braves ?,1966
4,35,How fast is alcohol absorbed ?,quickly
4,8,When is the summer solstice ?,June 21st
0,7,What is supernova ?,exploding star
5,14,Where is the Shawnee National Forest ?,Illinois
5,11,What U.S. state 's motto is `` Live free or Die '' ?,New Hampshire
5,14,Where is the Lourve ?,Paris
4,8,When was the first stamp issued ?,1840
1,19,What primary colors do you mix to make orange ?,red and yellow
4,40,How far is Pluto from the sun ?,3.7 billion miles
5,14,What body of water are the Canary Islands in ?,Atlantic Ocean
0,7,What is neuropathy ?,damage to nerves
5,14,Where is the Euphrates River ?,Iraq and Turkey
0,7,What is cryptography ?,secret writing
1,28,What is natural gas composed of ?,methane and ethane
3,4,Who is the Prime Minister of Canada ?,Justin Trudeau
3,4,What French ruler was defeated at the battle of Waterloo ?,Napoleon
0,7,What is leukemia ?,cancer of blood and bone marrow
5,14,Where did Howard Hughes die ?,Mexico
1,28,What is the birthstone for June ?,Pearl
1,14,What is the sales tax in Minnesota ?,6.88%
4,40,What is the distance in miles from the earth to the sun ?,93 million
4,27,What is the average life span for a chicken ?,10-15 years
4,8,When was the first Wal-Mart store opened ?,1962
0,7,What is relative humidity ?,amount of water vapor in air
5,21,What city has the zip code of 35824 ?,"Huntsville , Alabama"
1,46,What currency is used in Algeria ?,Algerian dinar
3,4,Who invented the hula hoop ?,Richard Knerr and Arthur Melin
1,26,What was the most popular toy in 1957 ?,hula hoop
1,28,What is pastrami made of ?,beef
1,26,What is the name of the satellite that the Soviet Union sent into space in 1957 ?,Sputnik
5,21,What city 's newspaper is called `` The Enquirer '' ?,Cincinnati
3,4,Who invented the slinky ?,Richard James
1,2,What are the animals that don 't have backbones called ?,invertebrates
4,14,What is the melting point of copper ?,1083°C
5,14,Where is the volcano Olympus Mons located ?,Mars
3,4,Who was the 23rd president of the United States ?,Benjamin Harrison
4,41,What is the average body temperature ?,98.6°F
0,12,What does a defibrillator do ?,restores normal heart rhythm
0,12,What is the effect of acid rain ?,damages trees and water
4,8,What year did the United States abolish the draft ?,1973
4,35,How fast is the speed of light ?,"186,282 miles/second"
5,11,What province is Montreal in ?,Quebec
5,14,What New York City structure is also known as the Twin Towers ?,World Trade Center
0,7,What is fungus ?,types of noncellular organisms
1,37,What is the most frequently spoken language in the Netherlands ?,Dutch
0,7,What is sodium chloride ?,table salt
1,20,What are the spots on dominoes called ?,spots
4,13,How many pounds in a ton ?,2000
0,7,What is influenza ?,flu
0,7,What is ozone depletion ?,ozone damage
4,8,What year was the Mona Lisa painted ?,1503
0,7,What does `` Sitting Shiva '' mean ?,Jewish mourning rites
1,14,"What is the electrical output in Madrid , Spain ?",220 volt
5,24,Which mountain range in North America stretches from Maine to Georgia ?,Appalachian Mountains
1,28,What is plastic made of ?,polymers
4,14,What is the population of Nigeria ?,189 million
0,12,What does your spleen do ?,filter blood and fight infection
5,14,Where is the Grand Canyon ?,Arizona
3,4,Who invented the telephone ?,Graham Bell
4,8,What year did the U.S. buy Alaska ?,1867
3,4,What is the name of the leader of Ireland ?,Taoiseach
0,7,What is phenylalanine ?,amino acid
4,13,How many gallons of water are there in a cubic foot ?,7.5
1,14,What are the two houses of the Legislative branch ?,Senate and House of Representatives
0,7,What is sonar ?,sonic detection
5,14,"In Poland , where do most people live ?",cities
0,7,What is phosphorus ?,nonmetal element
5,14,What is the location of the Sea of Tranquility ?,Moon
4,35,How fast is sound ?,343 meters/second
5,11,What French province is cognac produced in ?,Cognac
0,7,What is Valentine 's Day ?,holiday for love
0,9,What causes gray hair ?,lack of pigment
0,7,What is hypertension ?,high blood pressure
0,7,What is bandwidth ?,data transmission rate
5,14,What is the longest suspension bridge in the U.S. ?,Verrazano-Narrows Bridge
0,7,What is a parasite ?,organism living in another organism
0,7,What is home equity ?,borrowing money against home value
0,12,What do meteorologists do ?,study weather and climate
1,14,What is the criterion for being legally blind ?,20/200 vision
3,4,Who is the tallest man in the world ?,Robert Wadlow
5,21,What are the twin cities ?,Minneapolis and Saint Paul
1,14,What did Edward Binney and Howard Smith invent in 1903 ?,Crayola crayons
1,28,What is the statue of liberty made of ?,copper sheets over iron frame
0,7,What is pilates ?,exercise program
5,14,What planet is known as the `` red '' planet ?,Mars
4,40,What is the depth of the Nile river ?,"4,132 miles"
1,20,What is the colorful Korean traditional dress called ?,hanbok
0,7,What is Mardi Gras ?,celebration before Lent
4,25,Mexican pesos are worth what in U.S. dollars ?,18 pesos to $1
3,4,Who was the first African American to play for the Brooklyn Dodgers ?,Jackie Robinson
3,4,Who was the first Prime Minister of Canada ?,Sir John A. Macdonald
4,13,How many Admirals are there in the U.S. Navy ?,9
1,33,What instrument did Glenn Miller play ?,trombone
4,27,How old was Joan of Arc when she died ?,19
0,7,What does the word fortnight mean ?,two weeks
0,7,What is dianetics ?,scientology
5,21,What is the capital of Ethiopia ?,Addis Ababa
4,27,For how long is an elephant pregnant ?,22 months
0,0,How did Janice Joplin die ?,overdosed on pills
1,37,What is the primary language in Iceland ?,Icelandic
0,12,What is the difference between AM radio stations and FM radio stations ?,"AM is amplitude modulation, FM is frequency modulation"
0,7,What is osteoporosis ?,bone loss
3,4,Who was the first woman governor in the U.S. ?,Nellie Tayloe Ross
0,7,What is peyote ?,hallucinogenic cactus
0,9,What is the esophagus used for ?,food tube
0,7,What is viscosity ?,measure of fluid 's resistance to flow
4,8,What year did Oklahoma become a state ?,1907
2,34,What is the abbreviation for Texas ?,TX
1,28,What is a mirror made out of ?,silver and other metals deposited on glass
5,14,Where on the body is a mortarboard worn ?,graduation cap
3,4,What was J.F.K. 's wife 's name ?,Jackie
2,3,What does I.V. stand for ?,intravenous
0,7,What is the chunnel ?,undersea tunnel
5,14,Where is Hitler buried ?,Berlin
0,7,What are antacids ?,reduce stomach acidity
0,7,What is pulmonary fibrosis ?,lung scarring
0,7,What are Quaaludes ?,sedatives
0,7,What is naproxen ?,anti-inflammatory
0,7,What is strep throat ?,bacterial throat infection
5,21,What is the largest city in the U.S. ?,New York City
1,23,What is foot and mouth disease ?,livestock disease
4,14,What is the life expectancy of a dollar bill ?,22 months
1,20,What do you call a professional map drawer ?,cartographer
0,7,What are Aborigines ?,native Australians
0,7,What is hybridization ?,interbreeding of plants
1,19,What color is indigo ?,blue-violet
4,27,How old do you have to be in order to rent a car in Italy ?,25
1,14,What does a barometer measure ?,atmospheric pressure
1,19,What color is a giraffe 's tongue ?,black
2,3,What does USPS stand for ?,United States Postal Service
4,8,What year did the NFL go on strike ?,1987
0,7,What is solar wind ?,charged particles from the sun
4,8,What date did Neil Armstrong land on the moon ?,20-Jul-69
4,8,When was Hiroshima bombed ?,1945
5,14,Where is the Savannah River ?,Georgia and South Carolina
3,4,Who was the first woman killed in the Vietnam War ?,Diane Carlson Evans
5,14,What planet has the strongest magnetic field of all the planets ?,Jupiter
3,4,Who is the governor of Alaska ?,Mike Dunleavy
4,8,What year did Mussolini seize power in Italy ?,1922
5,21,What is the capital of Persia ?,Tehran
5,14,Where is the Eiffel Tower ?,Paris
4,13,How many hearts does an octopus have ?,3
0,7,What is pneumonia ?,lung infection
5,14,What is the deepest lake in the US ?,Crater Lake
0,7,What is a fuel cell ?,generates electricity
3,4,Who was the first U.S. president to appear on TV ?,Franklin D. Roosevelt
5,14,Where is the Little League Museum ?,"Williamsport, PA"
1,14,What are the two types of twins ?,"identical, fraternal"
5,14,What is the brightest star ?,Sirius
0,7,What is diabetes ?,high blood sugar
4,8,When was President Kennedy shot ?,1963
2,3,What is TMJ ?,jaw joint disorder
1,19,What color is yak milk ?,yellow
4,8,What date was Dwight D. Eisenhower born ?,"June 14, 1890"
2,3,What does the technical term ISDN mean ?,Integrated Services Digital Network
0,9,Why is the sun yellow ?,sunlight is yellow
4,25,What is the conversion rate between dollars and pounds ?,$1.25 = £1
4,8,When was Abraham Lincoln born ?,1809
0,7,What is the Milky Way ?,galaxy
0,7,What is mold ?,fungus
4,8,What year was Mozart born ?,1756
1,2,What is a group of frogs called ?,group
1,44,What is the name of William Penn 's ship ?,Welcome
4,14,What is the melting point of gold ?,1947°F
5,14,What is the street address of the White House ?,1600 Pennsylvania Ave.
0,7,What is semolina ?,hard wheat
1,17,What fruit is Melba sauce made from ?,peach
0,7,What is Ursa Major ?,constellation
4,38,What is the percentage of water content in the human body ?,60%
4,45,How much does water weigh ?,8.34 pounds per gallon
1,10,What was President Lyndon Johnson 's reform program called ?,Great Society
4,38,"What is the murder rate in Windsor , Ontario ?",1 murder in 2014
3,4,Who is the only president to serve 2 non-consecutive terms ?,Grover Cleveland
4,14,What is the population of Australia ?,24.6 million
3,4,Who painted the ceiling of the Sistine Chapel ?,Michelangelo
1,23,Name a stimulant .,caffeine
0,12,What is the effect of volcanoes on the climate ?,"cooling effect , crop damage"
4,8,What year did the Andy Griffith show begin ?,1960
0,7,What is acid rain ?,rain with high acidity
4,8,What is the date of Mexico 's independence ?,16-Sep
5,14,What is the location of Lake Champlain ?,New York
1,30,What is the Illinois state flower ?,violet
1,2,What is Maryland 's state bird ?,oriole
0,7,What is quicksilver ?,mercury
3,4,Who wrote `` The Divine Comedy '' ?,Dante
4,35,What is the speed of light ?,"186,282 miles per second"
4,40,What is the width of a football field ?,160 feet
0,9,Why in tennis are zero points called love ?,means nothing
1,2,What kind of dog was Toto in the Wizard of Oz ?,cairn terrier
0,7,What is a thyroid ?,gland
0,7,What does ciao mean ?,goodbye
1,22,What is the only artery that carries blue blood from the heart to the lungs ?,pulmonary artery
4,14,How often does Old Faithful erupt at Yellowstone National Park ?,every 60-90 minutes
0,7,What is acetic acid ?,vinegar acid
4,40,"What is the elevation of St. Louis , MO ?",465 feet
1,19,What color does litmus paper turn when it comes into contact with a strong acid ?,red
1,19,What are the colors of the German flag ?,"black, red, gold"
0,7,What is the Moulin Rouge ?,cabaret
5,14,What soviet seaport is on the Black Sea ?,Sevastopol
4,45,What is the atomic weight of silver ?,107.87
1,46,What currency do they use in Brazil ?,real
0,7,What are pathogens ?,disease-causing organisms
0,7,What is mad cow disease ?,bovine spongiform encephalopathy
1,17,Name a food high in zinc .,oysters
4,8,When did North Carolina enter the union ?,1789
5,14,Where do apple snails live ?,freshwater habitats
0,7,What are ethics ?,moral principles
2,3,What does CPR stand for ?,cardiopulmonary resuscitation
0,7,What is an annuity ?,fixed sum of money paid annually
3,4,Who killed John F. Kennedy ?,Lee Harvey Oswald
3,4,Who was the first vice president of the U.S. ?,John Adams
1,28,What birthstone is turquoise ?,December
3,4,Who was the first US President to ride in an automobile to his inauguration ?,William McKinley
4,27,How old was the youngest president of the United States ?,42
4,8,When was Ulysses S. Grant born ?,Theodore Roosevelt
0,7,What is Muscular Dystrophy ?,progressive muscle disorder
3,4,Who lived in the Neuschwanstein castle ?,King Ludwig II of Bavaria
0,7,What is propylene glycol ?,antifreeze
0,7,What is a panic disorder ?,sudden attacks of anxiety
3,4,Who invented the instant Polaroid camera ?,Edwin Land
0,7,What is a carcinogen ?,cancer-causing substance
1,2,What is a baby lion called ?,cub
4,14,What is the world 's population ?,7.7 billion
0,7,What is nepotism ?,favoritism
0,7,What is die-casting ?,molten metal injected into mold
0,7,What is myopia ?,near sightedness
4,14,What is the sales tax rate in New York ?,4%
4,38,Developing nations comprise what percentage of the world 's population ?,80%
5,24,What is the fourth highest mountain in the world ?,K2
3,4,What is Shakespeare 's nickname ?,The Bard
1,28,What is the heaviest naturally occurring element ?,osmium
4,8,When is Father 's Day ?,3rd Sunday in June
2,3,What does the acronym NASA stand for ?,National Aeronautics and Space Administration
4,40,How long is the Columbia River in miles ?,"1,243"
5,21,What city 's newspaper is called `` The Star '' ?,Toronto
0,7,What is carbon dioxide ?,carbon dioxide gas
5,14,Where is the Mason/Dixon line ?,Pennsylvania and Maryland border
4,8,When was the Boston tea party ?,1773
0,7,What is metabolism ?,the rate of chemical reactions in the body
3,4,Which U.S.A. president appeared on `` Laugh-In '' ?,Richard Nixon
1,28,What are cigarettes made of ?,tobacco
5,21,What is the capital of Zimbabwe ?,Harare
2,3,What does NASA stand for ?,National Aeronautics and Space Administration
1,30,What is the state flower of Michigan ?,apple blossom
0,7,What are semiconductors ?,electronic components
0,7,What is nuclear power ?,radioactive decay
0,7,What is a tsunami ?,giant wave
3,4,Who is the congressman from state of Texas on the armed forces committee ?,John Cornyn
3,4,Who was president in 1913 ?,Woodrow Wilson
4,8,When was the first kidney transplant ?,1966
5,14,What are Canada 's two territories ?,"Yukon, Northwest Territories"
1,44,What was the name of the plane Lindbergh flew solo across the Atlantic ?,Spirit of St. Louis
0,7,What is genocide ?,deliberate killing of a people
5,14,What continent is Argentina on ?,South America
1,14,What monastery was raided by Vikings in the late eighth century ?,Lindisfarne Priory
0,7,What is an earthquake ?,vibration of the earth's crust
5,14,Where is the tallest roller coaster located ?,Kingda Ka at Six Flags Great Adventure
0,7,What are enzymes ?,proteins that speed up chemical reactions
3,4,Who discovered oxygen ?,Joseph Priestley
0,7,What is bangers and mash ?,sausages and mashed potatoes
1,2,What is the name given to the Tiger at Louisiana State University ?,Mike the Tiger
5,14,Where are the British crown jewels kept ?,Tower of London
3,4,Who was the first person to reach the North Pole ?,Robert Peary
0,7,What is an ulcer ?,sore in stomach
0,7,What is vertigo ?,dizziness
0,7,What is the spirometer test ?,measures lung capacity
4,8,When is the official first day of summer ?,21-Jun
2,3,What does the abbreviation SOS mean ?,Save Our Souls
1,2,What is the smallest bird in Britain ?,goldcrest
3,4,Who invented Trivial Pursuit ?,Chris Haney and Scott Abbott
1,28,What gasses are in the troposphere ?,"nitrogen, oxygen, argon"
5,18,Which country has the most water pollution ?,China
1,2,What is the scientific name for elephant ?,Elephas Maximus
3,4,Who is the actress known for her role in the movie `` Gypsy '' ?,Rosalind Russell
1,2,What breed of hunting dog did the Beverly Hillbillies own ?,bloodhound
5,14,What is the rainiest place on Earth ?,"Mawsynram, India"
3,4,Who was the first African American to win the Nobel Prize in literature ?,Toni Morrison
4,8,When is St. Patrick 's Day ?,17-Mar
1,2,What was FDR 's dog 's name ?,Fala
1,19,What colors need to be mixed to get the color pink ?,red and white
1,29,What is the most popular sport in Japan ?,sumo wrestling
1,17,What is the active ingredient in baking soda ?,sodium bicarbonate
4,8,When was Thomas Jefferson born ?,1743
4,41,How cold should a refrigerator be ?,40° F
4,8,When was the telephone invented ?,1876
1,19,What is the most common eye color ?,brown
5,14,Where was the first golf course in the United States ?,St. Andrews Golf Club
0,7,What is schizophrenia ?,mental disorder
0,7,What is angiotensin ?,blood pressure hormone
3,5,What did Jesse Jackson organize ?,P.U.S.H.
1,2,What is New York 's state bird ?,bluebird
5,14,What is the National Park in Utah ?,Zion
4,8,What is Susan B. Anthony 's birthday ?,15-Feb
5,11,In which state would you find the Catskill Mountains ?,New York
1,20,What do you call a word that is spelled the same backwards and forwards ?,palindrome
0,7,What are pediatricians ?,doctors for children
3,5,"What chain store is headquartered in Bentonville , Arkansas ?",Walmart
0,7,What are solar cells ?,convert sunlight into electricity
0,7,What is compounded interest ?,interest calculated on interest earned
0,7,What are capers ?,pickled flower buds
0,7,What is an antigen ?,foreign substance that triggers an immune response
1,46,What currency does Luxembourg use ?,euro
4,14,What is the population of Venezuela ?,32.6 million
1,14,What type of polymer is used for bulletproof vests ?,Kevlar
1,46,What currency does Argentina use ?,peso
0,7,What is a thermometer ?,measures temperature
5,21,What Canadian city has the largest population ?,Toronto
1,19,What color are crickets ?,"black, brown"
5,18,Which country gave New York the Statue of Liberty ?,France
1,26,What was the name of the first U.S. satellite sent into space ?,Explorer 1
1,28,What precious stone is a form of pure carbon ?,diamond
1,28,What kind of gas is in a fluorescent bulb ?,mercury
0,7,What is rheumatoid arthritis ?,inflammation of joints
5,14,"What river runs through Rowe , Italy ?",Tiber
0,7,What is cerebral palsy ?,brain damage at birth
5,21,What city is also known as `` The Gateway to the West '' ?,St. Louis
4,40,How far away is the moon ?,"238,900 miles"
1,14,What is the source of natural gas ?,natural gas reservoirs
1,44,In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight ?,Freedom 7
0,7,What is pectin ?,fruit pectin
0,7,What is bio-diversity ?,variety of life
1,31,What 's the easiest way to remove wallpaper ?,scoring and softening the wallpaper
4,8,What year did the Titanic start on its journey ?,1912
4,13,How much of an apple is water ?,84%
3,4,Who was the 22nd President of the US ?,Grover Cleveland
1,46,What is the money they use in Zambia ?,kwacha
4,13,How many feet in a mile ?,"5,280"
1,28,What is the birthstone of October ?,opal
0,7,What is e-coli ?,bacterium
